(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 15)
(17, 0)
(18, 0)
(19, 15)
(20, 0)
(21, 0)
(22, 0)
(23, 15)
(24, 15)
(25, 0)
(26, 0)
(27, 0)
(28, 15)
(29, 15)
(30, 15)
(31, 15)
(32, 15)
(33, 15)
(34, 15)
(35, 15)
(36, 15)
(37, 15)
(38, 15)
(39, 15)
(40, 15)
(41, 15)
(42, 15)
(43, 16)
(44, 15)
(45, 15)
(46, 15)
(47, 31)
(48, 31)
(49, 31)
(50, 31)
(51, 31)
(52, 31)
(53, 31)
(54, 46)
(55, 31)
(56, 31)
(57, 46)
(58, 46)
(59, 46)
(60, 46)
(61, 62)
(62, 46)
(63, 46)
(64, 46)
(65, 46)
(66, 62)
(67, 78)
(68, 78)
(69, 78)
(70, 78)
(71, 78)
(72, 78)
(73, 78)
(74, 78)
(75, 93)
(76, 109)
(77, 93)
(78, 93)
(79, 109)
(80, 109)
(81, 124)
(82, 125)
(83, 125)
(84, 124)
(85, 140)
(86, 140)
(87, 140)
(88, 140)
(89, 156)
(90, 156)
(91, 171)
(92, 171)
(93, 171)
(94, 171)
(95, 171)
(96, 187)
(97, 203)
(98, 203)
(99, 203)
(100, 203)
