(200, 1122)
(201, 1051)
(202, 1069)
(203, 1032)
(204, 1035)
(205, 1124)
(206, 1078)
(207, 1087)
(208, 1112)
(209, 1036)
(210, 1072)
(211, 1089)
(212, 1084)
(213, 1102)
(214, 1101)
(215, 1117)
(216, 1127)
(217, 1158)
(218, 1148)
(219, 1171)
(220, 1186)
(221, 1202)
(222, 1223)
(223, 1233)
(224, 1256)
(225, 1278)
(226, 1273)
(227, 1299)
(228, 1325)
(229, 1317)
(230, 1355)
(231, 1351)
(232, 1367)
(233, 1387)
(234, 1387)
(235, 1401)
(236, 1406)
(237, 1453)
(238, 1454)
(239, 1478)
(240, 1481)
(241, 1518)
(242, 1538)
(243, 1542)
(244, 1563)
(245, 1588)
(246, 1612)
(247, 1621)
(248, 1649)
(249, 1689)
(250, 1688)
(251, 1688)
(252, 1699)
(253, 1702)
(254, 1734)
(255, 1756)
(256, 1769)
(257, 1781)
(258, 1804)
(259, 1813)
(260, 1849)
(261, 1854)
(262, 2036)
(263, 1888)
(264, 1903)
(265, 1939)
(266, 1967)
(267, 1963)
(268, 1988)
(269, 1997)
(270, 2025)
(271, 2035)
(272, 2051)
(273, 2087)
(274, 2115)
(275, 2105)
(276, 2131)
(277, 2135)
(278, 2175)
(279, 2198)
(280, 2289)
(281, 2237)
(282, 2299)
(283, 2290)
(284, 2285)
(285, 2319)
(286, 2339)
(287, 2339)
(288, 2375)
(289, 2388)
(290, 2404)
(291, 2403)
(292, 2471)
(293, 2491)
(294, 2488)
(295, 2517)
(296, 2537)
(297, 2502)
(298, 2565)
(299, 2606)
(300, 2619)
